datetime,nb_total_net_buy,nb_total_buy,nb_total_sell
2016-05-27,6.1487,10.4495,4.3008
2016-05-30,24.31,30.2012,5.8912
2016-05-31,34.3676,44.5175,10.1499
2016-06-01,19.0118,30.9304,11.9186
2016-06-02,7.9983,13.091700000000001,5.0934
2016-06-03,13.8583,24.2875,10.429200000000002
2016-06-06,2.0072,15.7369,13.729700000000001
2016-06-07,11.2444,17.7971,6.5527
2016-06-08,-0.5609000000000001,17.4936,18.0545
2016-06-13,-10.8297,14.9891,25.8188
2016-06-14,-2.5827999999999998,9.14,11.7228
2016-06-15,-6.9986,11.304,18.302599999999998
2016-06-16,-9.2515,10.4297,19.6812
2016-06-17,7.2983,20.63,13.331700000000001
2016-06-20,0.358,8.6025,8.2445
2016-06-21,-0.8844,10.2749,11.1593
2016-06-22,7.0591,13.268099999999999,6.209
2016-06-23,-0.7434999999999999,8.5058,9.2493
2016-06-24,-20.6853,6.691599999999999,27.3769
2016-06-27,-0.8371,12.4344,13.271500000000001
2016-06-28,-0.9098,10.3078,11.2176
2016-06-29,8.9453,22.3085,13.363199999999999
2016-07-04,11.4914,25.7637,14.2723
2016-07-05,-1.5847,12.0288,13.613499999999998
2016-07-06,-6.4507,9.0013,15.452
2016-07-07,-2.1199,10.8373,12.9572
2016-07-08,-2.2706999999999997,11.4144,13.6851
2016-07-11,15.496199999999998,26.1431,10.6469
2016-07-12,16.8992,30.0042,13.105
2016-07-13,4.8099,24.098499999999998,19.2886
2016-07-14,7.031499999999999,16.9172,9.8857
2016-07-15,4.1581,14.7171,10.559000000000001
2016-07-18,7.105499999999999,15.3181,8.2126
2016-07-19,5.454400000000001,13.723199999999999,8.2688
2016-07-20,3.4217,9.666699999999999,6.245
2016-07-21,7.0012,16.9051,9.9039
2016-07-22,2.9192,11.6217,8.7025
2016-07-25,4.4864999999999995,12.3525,7.8660000000000005
2016-07-26,4.6967,15.866900000000001,11.1702
2016-07-27,9.752,30.965,21.213
2016-07-28,-5.668099999999999,14.885399999999999,20.5535
2016-07-29,0.856,11.0125,10.1565
2016-08-01,10.5475,18.9369,8.3894
