instrument,datetime,nb_hold_pct,nb_hold_mv,nb_hold_pct_chg,nb_net_buy_ratio
SH600776,2024-08-16,,,,
SZ300480,2024-08-16,,,,
SH688029,2024-08-16,,,,
SZ300384,2024-08-16,,,,
SZ300081,2024-08-16,,,,
SZ002786,2024-08-16,,,,
SH601611,2024-08-16,,,,
SH600056,2024-08-16,,,,
SH600071,2024-08-16,,,,
SZ301262,2024-08-16,,,,
SH688533,2024-08-16,,,,
SZ300039,2024-08-16,,,,
SH688320,2024-08-16,,,,
SZ000727,2024-08-16,,,,
SZ300882,2024-08-16,,,,
SH688281,2024-08-16,,,,
SZ000948,2024-08-16,,,,
SZ300363,2024-08-16,,,,
SZ002588,2024-08-16,,,,
SH605108,2024-08-16,,,,
SH605199,2024-08-16,,,,
SH688401,2024-08-16,,,,
SZ300351,2024-08-16,,,,
SH605018,2024-08-16,,,,
SH603477,2024-08-16,,,,
SH688127,2024-08-16,,,,
SH603786,2024-08-16,,,,
SZ002547,2024-08-16,,,,
SZ300348,2024-08-16,,,,
SZ000900,2024-08-16,,,,
SH688566,2024-08-16,,,,
SZ000863,2024-08-16,,,,
SZ301206,2024-08-16,,,,
SH688247,2024-08-16,,,,
SZ300052,2024-08-16,,,,
SH603301,2024-08-16,,,,
SZ300429,2024-08-16,,,,
SZ002543,2024-08-16,,,,
SH603055,2024-08-16,,,,
SZ300318,2024-08-16,,,,
SH688025,2024-08-16,,,,
SZ300593,2024-08-16,,,,
SH600273,2024-08-16,,,,
SZ300428,2024-08-16,,,,
SH603013,2024-08-16,,,,
SZ002032,2024-08-16,,,,
SH600521,2024-08-16,,,,
SZ300377,2024-08-16,,,,
SZ000567,2024-08-16,,,,
SZ002839,2024-08-16,,,,
SZ301559,2024-08-16,,,,
SZ002152,2024-08-16,,,,
SZ002016,2024-08-16,,,,
SZ001338,2024-08-16,,,,
SZ300738,2024-08-16,,,,
SH603081,2024-08-16,,,,
SH688150,2024-08-16,,,,
SH688371,2024-08-16,,,,
SH600993,2024-08-16,,,,
SZ300581,2024-08-16,,,,
SZ300869,2024-08-16,,,,
SH600167,2024-08-16,,,,
SZ002925,2024-08-16,,,,
SH688167,2024-08-16,,,,
SZ002275,2024-08-16,,,,
SH605369,2024-08-16,,,,
SH688575,2024-08-16,,,,
SH688336,2024-08-16,,,,
SZ300166,2024-08-16,,,,
SZ300206,2024-08-16,,,,
SZ301381,2024-08-16,,,,
SZ300320,2024-08-16,,,,
SZ002728,2024-08-16,,,,
SZ300353,2024-08-16,,,,
SZ002038,2024-08-16,,,,
SH688001,2024-08-16,,,,
SZ300592,2024-08-16,,,,
SZ301328,2024-08-16,,,,
SH688016,2024-08-16,,,,
SZ003028,2024-08-16,,,,
SH600105,2024-08-16,,,,
SZ300679,2024-08-16,,,,
SZ000050,2024-08-16,,,,
SZ002461,2024-08-16,,,,
SH603368,2024-08-16,,,,
SZ300759,2024-08-16,,,,
SH688496,2024-08-16,,,,
SH601968,2024-08-16,,,,
SZ002990,2024-08-16,,,,
SH688315,2024-08-16,,,,
SH688236,2024-08-16,,,,
SH601116,2024-08-16,,,,
SH603203,2024-08-16,,,,
SZ300638,2024-08-16,,,,
SH600707,2024-08-16,,,,
SH601881,2024-08-16,,,,
SZ300893,2024-08-16,,,,
SZ301061,2024-08-16,,,,
SH603206,2024-08-16,,,,
SZ301109,2024-08-16,,,,
SH688306,2024-08-16,,,,
SZ301511,2024-08-16,,,,
SZ300981,2024-08-16,,,,
SH600998,2024-08-16,,,,
SH688389,2024-08-16,,,,
SZ002366,2024-08-16,,,,
SZ300712,2024-08-16,,,,
SH600880,2024-08-16,,,,
SZ002432,2024-08-16,,,,
SZ300066,2024-08-16,,,,
SH688778,2024-08-16,,,,
SH688212,2024-08-16,,,,
SH688502,2024-08-16,,,,
SH688110,2024-08-16,,,,
SZ002614,2024-08-16,,,,
SH603730,2024-08-16,,,,
SZ000048,2024-08-16,,,,
SZ301525,2024-08-16,,,,
SZ001309,2024-08-16,,,,
SZ001236,2024-08-16,,,,
SH603002,2024-08-16,,,,
SH688488,2024-08-16,,,,
SZ300257,2024-08-16,,,,
SZ000975,2024-08-16,,,,
SH600773,2024-08-16,,,,
SH601339,2024-08-16,,,,
SH688410,2024-08-16,,,,
SZ300188,2024-08-16,,,,
SZ300596,2024-08-16,,,,
SZ002755,2024-08-16,,,,
SH601606,2024-08-16,,,,
SZ002093,2024-08-16,,,,
SZ000030,2024-08-16,,,,
SH688313,2024-08-16,,,,
SZ301263,2024-08-16,,,,
SH603439,2024-08-16,,,,
SH600841,2024-08-16,,,,
SH688526,2024-08-16,,,,
SH601117,2024-08-16,,,,
SH688319,2024-08-16,,,,
SH601238,2024-08-16,,,,
SH688198,2024-08-16,,,,
SZ300496,2024-08-16,,,,
SZ301153,2024-08-16,,,,
SH605183,2024-08-16,,,,
SH601998,2024-08-16,,,,
SZ300603,2024-08-16,,,,
SH600967,2024-08-16,,,,
SH688261,2024-08-16,,,,
SZ301195,2024-08-16,,,,
SZ300674,2024-08-16,,,,
SZ000078,2024-08-16,,,,
SH605388,2024-08-16,,,,
SZ002915,2024-08-16,,,,
SZ000815,2024-08-16,,,,
SH688505,2024-08-16,,,,
SZ000158,2024-08-16,,,,
SZ301516,2024-08-16,,,,
SH688259,2024-08-16,,,,
SH603931,2024-08-16,,,,
SH688639,2024-08-16,,,,
SH600103,2024-08-16,,,,
SZ300768,2024-08-16,,,,
SZ300676,2024-08-16,,,,
SZ301509,2024-08-16,,,,
SH688278,2024-08-16,,,,
SZ003040,2024-08-16,,,,
SH688301,2024-08-16,,,,
SZ300485,2024-08-16,,,,
SZ300926,2024-08-16,,,,
SZ002782,2024-08-16,,,,
SZ300475,2024-08-16,,,,
SZ002019,2024-08-16,,,,
SZ000531,2024-08-16,,,,
SZ002961,2024-08-16,,,,
SH601900,2024-08-16,,,,
SZ301327,2024-08-16,,,,
SZ300396,2024-08-16,,,,
SH688185,2024-08-16,,,,
SZ300255,2024-08-16,,,,
SZ301116,2024-08-16,,,,
SH603661,2024-08-16,,,,
SH688197,2024-08-16,,,,
SZ000012,2024-08-16,,,,
SH688128,2024-08-16,,,,
SH688626,2024-08-16,,,,
SZ002597,2024-08-16,,,,
SZ002538,2024-08-16,,,,
SH688332,2024-08-16,,,,
SH688489,2024-08-16,,,,
SH603718,2024-08-16,,,,
SH605005,2024-08-16,,,,
SH688161,2024-08-16,,,,
SH688279,2024-08-16,,,,
SH688658,2024-08-16,,,,
SZ002881,2024-08-16,,,,
SZ002382,2024-08-16,,,,
SZ301102,2024-08-16,,,,
SH600219,2024-08-16,,,,
SZ300997,2024-08-16,,,,
SZ300858,2024-08-16,,,,
SH688157,2024-08-16,,,,
SH688733,2024-08-16,,,,
SH688248,2024-08-16,,,,
SH605056,2024-08-16,,,,
SZ301200,2024-08-16,,,,
SH603071,2024-08-16,,,,
SZ002922,2024-08-16,,,,
SH688112,2024-08-16,,,,
